#id arrival runtime priority
1	10	8	1
2	10	28	10
3	10	13	9
4	10	5	6
5	10	8	0
6	10	22	5
7	10	6	10
8	10	18	7
9	10	28	3
10	10	3	7
11	10	22	9
12	10	24	3
13	10	19	1
14	10	7	1
15	10	14	0
16	10	10	3
17	10	14	10
18	10	25	1
19	10	10	1
20	10	21	7
21	10	7	3
22	10	25	6
23	10	29	0
24	10	16	0
25	10	19	9
26	10	24	3
27	10	19	5
28	10	10	2
29	10	23	0
30	10	23	0
31	10	14	5
32	10	5	2
33	10	16	1
34	10	0	0
35	10	22	4
36	10	15	4
37	10	9	0
38	10	24	8
39	10	26	4
40	10	27	10
41	10	17	7
42	10	23	4
43	10	25	2
44	10	20	2
45	10	21	4
46	10	14	9
47	10	21	9
48	10	28	1
49	10	28	10
50	10	25	2
